id,date,user_name,user_id,user_displayname,user_location,user_followers,user_friends,user_statuses,retweeted,content,lang,is_missinginfo
1399153558994497536,2021-05-30 23:59:38+00:00,meiregdias,220754151,Meire Dias,"Califórnia, USA",2502,2460,14010,,"@LaurinhaIronic Vachina, você quis dizer, né?
O pior é saber que o cara fez um artigo querendo que o presidente morresse. Por que desejar o mal assim? Será que não vêem que a energia circula e volta na mesma proporção?",pt,
1399153005971267584,2021-05-30 23:57:26+00:00,Ventania38,1232704241606762496,Ventania38,Brasil,8835,8595,25637,,"A vaChina tem uma tremenda eficácia.  Devia ser banida, assim como fizeram os EUA, Europa e Israel. Por aqui, já vacinamos mais que quase todos os países desenvolvidos e continuamos com perdas de vidas inocentes. https://t.co/3TZFXlLdTB",pt,
1399152559412162560,2021-05-30 23:55:39+00:00,RoderRock,70689698,Roder Rock,.il ,464,1563,60609,,"@diogomainardi Foi a vachina? Não. 
Será que brasileiros vacinados com a CoronaVac do Doria vão poder entrar na Europa ou vão ter de tomar outra aprovada aí?",pt,
1399151900524744705,2021-05-30 23:53:02+00:00,Walison29721950,1093828421082337281,Walison Silva,"Sumaré, Brasil",2,25,912,,"@jdoriajr Vários países não aceitam a entrada de brasileiros vacinados com a vachina, estudos apontam que a eficácia chega a 28%, talvez seja esse o motivo do povo continuarem morrendo. Estados Unidos e Europa não vacina o povo com a vachina da China, e o Butantã não e seu.",pt,
1399150098945282048,2021-05-30 23:45:53+00:00,Belcc102,1354627289129103365,Belcc10 2 🇧🇷🇧🇷🇧🇷🇧🇷 ⚫⚪🔴,,1349,1679,60375,,"A Múmia da Odebrecht @randolfeap  DPVAT João Agripino @jdoriajr
hipócrita lunático Lockdown e VACHINA NÃO 
#ForaDoriaDitadorgenocida",pt,
1399148036610220033,2021-05-30 23:37:41+00:00,Jaspion8820,1300891427510120461,Gigante Guerreiro Daileon,"Canoas, Brasil",894,916,18729,,"@PTirolo Pazzuelo virou mito na CPI também. Cabe lembrar que, quando Bolsonaro dizia que não teríamos vacina chinesa, Pazzuelo afirmava que compraríamos a vachina. Falou bonito na CPI, foi elevado ao status de mito. É preciso analisar o histórico. Há erros que não podemos deixar passar.",pt,
1399144973384044545,2021-05-30 23:25:31+00:00,shaikkmd135,2911793293,Shaik Muhammad,,58,378,3089,,@CHanumanthaRed4 @Svatireddytdp Nijam brama lagey anipistundi. Abadhaam   tho vachina anandam shaasvatam kadu,hi,
1399144055217524737,2021-05-30 23:21:52+00:00,kesley71120644,1157747544958672897,kesley🇧🇷,"Jundiaí, Brasil",437,635,4290,,"Qual vacina o calça apertada tomou? Não foi a Vachina da vida né?! Pq se foi, como ele entra em outros países? Já que a picadinha da vida dele não é aceita na Europa e nem nos EUA...#Doriafraude",pt,
1399144019985416197,2021-05-30 23:21:43+00:00,VandaRo83632391,1378101679527198721,VandinhaFeliz / C Reserva,,1478,1862,1571,,"@VogelMaricy Esse senhor tomou as duas doses da vachina, a que promete tantas coisas. Maricy❤️",pt,
1399143913131286531,2021-05-30 23:21:18+00:00,ProfPereira3,1251105047737511936,Comentarista da Vida como Ela é.,"Sobral, Brasil",1108,1844,10332,,Se nem o vírus existia quiçá a vaChina. Oh povo doido viu!,pt,
1399138283272212487,2021-05-30 22:58:56+00:00,nelsonmjunior,27439179,𝕹𝖊𝖑𝖘𝖔𝖓 𝕸𝖆𝖈𝖍𝖆𝖉𝖔 𝕵𝖚𝖓𝖎𝖔𝖗 🏆🏆🏆,"Rio de Janeiro, Rio de Janeiro",776,681,21738,,"Já considerava a VaChina vagabunda antes mesmo de começar sua aplicação no povo. Essa não tomo nem que seja a última disponível!

É a velha máxima: ""Em tempos de desespero, as pessoas acreditam no que querem acreditar. Por isso, demos a elas o que queriam acreditar.""",pt,
1399137907282223105,2021-05-30 22:57:26+00:00,profs_com_JB,1247624032729673734,Cris_SP_2022💚 💙 💛,Everywhere,3494,3599,8526,,"Será necessário o Sr Doria, responder:
Da vachina, aos fechamentos, às terceirizações DE TODO PATRIMÔNIO e em NENHUM MOMENTO diminuição na arrecadação.

Como fez o Federal que até a dívida estadual congelou! #PSDBNuncaMaisEmSP",pt,
