id,date,user_name,user_id,user_displayname,user_location,user_followers,user_friends,user_statuses,retweeted,content,lang,is_missinginfo
1399146027668623361,2021-05-30 23:29:42+00:00,Joenils64223172,1354650037674979330,Joenilson,"Bacabal, Brasil",1,44,18,,@senadorhumberto Nós somos Brasileiros e trabalhadora não somos cobaias de nenhuma indústria farmacêutica para aceitarmos tomar vacina sem comprovação e pior sem q a indústria se responsabize por qualquer efeito contrário . Acho q vcs senadores edeviam ter tomado a vacina  pra servir de cobaia.,pt,
1399132304010842114,2021-05-30 22:35:10+00:00,LadyLaura32BP20,332774859,🇧🇷LadyLaura Silva💛💚,,1392,2623,27260,,"@MarcosQuezado1 Estão fazendo povo de cobaia c/essas vacinas inseguras feito às pressas e sem comprovação de eficácia e todos aceitando calados “é pra seu bem” eu q/não irei tomar essa vacina(já peguei esse víruschinês,vou aguardar ter certeza das vacinas)Q/Deus tenha misericórdia de nossa nação",pt,
1399127130701717504,2021-05-30 22:14:37+00:00,BorgesMurillo10,1351533789613355011,Murillo ˢᶜᶜᵖ,,63,397,6484,,"@Ricardo_advo @chicogarciaa Não existe tratamento precoce. 
Só morreu esse tanto de gente pq ele não comprou vacina e foi contra o distanciamento/máscara etc.
 Ainda usou Manaus de cobaia.
 Defender esse cara é fazer pacto com tudo que há de ruim no ser humano.",pt,
1399066573114126341,2021-05-30 18:13:59+00:00,LCoderniz,1041059480560119809,Lili Coderniz 🇧🇷🇺🇸🇮🇱,"Niterói, Brasil",1498,1992,10829,,"@senadorhumberto Vacina???? Criada as pressas??? Tô fora, EU NÃO SOU COBAIA!",pt,
1399066449659011074,2021-05-30 18:13:29+00:00,lgfwisp,1051617827386523648,guga,"Maceió, Brasil",382,926,19366,,@xavierbeto_ @Collor usar de cobaia pra uma vacina que o mundo todo tava aplicando né KKKKKKK tá perdido fdp,pt,
1399051762695380995,2021-05-30 17:15:08+00:00,DireitaRh,1396358073325916165,Direita Tradicional RH,,7,44,309,,"Simples assim!!
Podia aplicar vacina antes, mas que vacina?!
Os Brasileiros seriam a cobaia de aprovação?!
🇧🇷🇧🇷🇧🇷🇧🇷

#BrasilAcimaDeTudoDeusAcimaDeTodos 
#fechadocombolsonaroate2026 
#BolsonaroTemRazão https://t.co/gTbm7Oqmbq",pt,
1399049333039898630,2021-05-30 17:05:28+00:00,makemecrish,64230693,Crish Gouveia,Brasil,197,240,11290,,Porque que para ocupar cargos públicos precisamos ser técnicos e não amadores check. Exemplo: no Brasil a qual o presidente recebeu propostas para se ter a vacina mas recusou por medo de fazer o Bri de cobaia. Para vc essa estratégia é técnica ou amadora?,pt,
1399031846797811712,2021-05-30 15:55:59+00:00,panchoelupita,246441056,Pancho & Lupita,São Leopoldo - Brasil,5,115,745,,@SLC1959 @OmarAzizSenador @opovoonline Na China não usam a Coronavac e na Europa é proibido entrar quem fez está vacina devido a baixa Eficácia. E a Eficácia só foi definida em janeiro. Queriam que os brasileiros fossem cobaia? Daí não.,pt,
1398975625457700867,2021-05-30 12:12:35+00:00,favedser,1298451131421655046,bree.,,3199,554,38774,,"@CatySophie amg eu morria de medo da vacina também e por pura neurose dos meus próprios professores que falavam que o tempo de estudo delas era pouco, mas a gente serviria de cobaia se precisasse kkkk mas agora todos eles foram vacinados e eu tô esperando minha vez 🙏🏼",pt,
1398972900720496649,2021-05-30 12:01:45+00:00,clairtriani,187052313,ClairVascão777,Brasil,334,375,13265,,"@Sampafalke Nenhuma. Não vou tomar vacina alguma, se quiserem me fazer de cobaia que façam uma proposta financeira bem gorda. Talvez daqui a uns 5 anos se tivermos certeza da eficácia e eficiência.",pt,
1398893011216568321,2021-05-30 06:44:18+00:00,anamariavs,39297508,gibrueigibrueigibrueinau,"São Paulo, Brasil",108,842,3651,,"Sábado, 3:39 da manhã, e eu me cadastrando pra ser cobaia dos testes da vacina indiana aqui no BR.

Isso pq não tem nem previsão de quando vou conseguir me imunizar.

Vaaaaai Brazeeel",pt,
1398875971193769987,2021-05-30 05:36:36+00:00,SantosIrrenil,1244654722881064960,Irrenil Santos Conrado,,2032,3224,47297,,"@marcelloneves72 @MrioRoque3 Eu não vou tomar esta vacina,  não sou cobaia.",pt,
1398861763328741378,2021-05-30 04:40:08+00:00,DiegoLi07890114,1392889958264942596,Diego@lima,,29,150,324,,"@pedrucosta @katyaRothschild @_anahikari É vc realmente não pode tomar cloroquina .
Além de matar vermes aumenta a imunidade , o jeito é torcer para Tomar vacina cobaia comunista ..",pt,
1398845038352814080,2021-05-30 03:33:41+00:00,MartaBrasilIl,1235303777357500422,Maria Marta,"Cáceres, Brasil",1396,1845,5098,,"@KatiaRonaria @N_Carvalheira Vacina sem tempo suficiente de testes, só poderia dar nisso mesmo! A população está sendo cobaia e implora por isso! Prefiro aguardar e tomar o tal remédio que não podemos citar o nome",pt,
1398828437691830272,2021-05-30 02:27:43+00:00,kdekaleo,1370221010,KALEO ❄️,"Rio de Janeiro, Brasil",498,2008,25536,,"se deu efeito colateral, é só seu organismo reagindo à vacina. e tá tudo bem. nenhum organismo é igual o de ninguém. pra cada um vai ter uma reação diferente. eu prefiro ser cobaia da vacina do que do vírus",pt,
1398813579948736514,2021-05-30 01:28:40+00:00,EU_JO_ROCHA,242895793,!EU_JOROCHA,,133,1327,74639,,"@juliette Sera que ela viu todos documentos sobre essas vacina , ser a favor da vacina todos são , mas qual vacina ? Precisa estudar um pouco 90% dos pais n aceita certas vacina ai pq será ? Povo sendo feito de cobaia e aceitando de boa .",pt,
1398798443301281794,2021-05-30 00:28:31+00:00,psaiko123,860213326709760000,aiko,,526,430,7714,,"@ArtusCristiana pelo visto vc não sabe o que é lógica... quem nega a gravidade automaticamente não tem por que se prevenir.... todo mundo com medo de tomar vacina??? em que bolha vc vive??? se eu pudesse ser cobaia eu teria sido! minha vó morreu por causa desse vírus filho da puta, ela poderia +",pt,
1398790598501572613,2021-05-29 23:57:21+00:00,FranciscoChina6,3382667542,Francisco De Assis Castro👌👌 🇧🇷🇷🇺🇺🇸🇮🇱,,1154,1806,58883,,"@Metropoles NÃO vou tomar essa vacina, NÃO sou cobaia",pt,
1398786749443317761,2021-05-29 23:42:03+00:00,IsaPMarmol,1325068127978348550,Isa Marmol 🐴🥩🍺,"Pirajuí, Brasil",56,172,652,,"@MHanones @GMRIERA @BolsonaroSP Ninguém tá aplaudindo a falta de vacina... mesmo pq essa vacina é EXPERIMENTAL,  meu caro.... Não sei vc, mas eu não sou cobaia.  Prefiro esperar a vacina q tenha melhor eficácia.",pt,
1398780637541240833,2021-05-29 23:17:46+00:00,eumesmo_lando,1222008015332745221,mini baixinho,Pará | Ceará Brasil ,997,638,8165,,Bolsonaro negou vacina e fez Manaus de cobaia #29MForaBolsonaro,pt,
1398771758099046406,2021-05-29 22:42:29+00:00,Jluizc1,890384739902910464,Jluizc,"Goiânia, Brasil",1712,1477,120115,,"@jonhsoares97 @kaurvedilol @ContaratoSenado Concordo. Leva seu conceito para vacina, o que me diz? Vai dizer que ela tem estudo? Somos cobaia cara.",pt,
1398760617385857027,2021-05-29 21:58:13+00:00,call_suporte,919993667850555393,Carlos Alberto,"Rio de Janeiro, Brasil",8348,4938,72731,,"@0C0RV0 @MauricioMLO Eu SINCERAMENTE desejo que os prognósticos pessimistas sobre as vacinas não se realizem, até pq fui obrigado a tomar essa porcaria pelo M.T. ou tomava vacina ou tomava justa causa. Mas não recomendo a ninguém se tornar cobaia, tudo por um projeto de poder, a história se repete.",pt,
1398749331574906895,2021-05-29 21:13:22+00:00,_cacarico,800467419126841344,MC Piroquinha,,122,542,40381,,"Sabe aquele meme do pessoal da direita que não vai tomar vacina por que não quer virar cobaia?

Eu acabei de ouvir.

Loira;
Unha rosa;
Shopping de gente rica;

Não falha.",pt,
