id,date,user_name,user_id,user_displayname,user_location,user_followers,user_friends,user_statuses,retweeted,content,lang,is_missinginfo
1399151333106761735,2021-05-30 23:50:47+00:00,CoronavirusAL,1236419404231061505,Coronavirus COVID-19,Brasil,5596,222,23126,,"⚠️ | Fazendo essa combinação inclusive aumentaria a eficácia da vacina, sem números de quanto aumentaria, mas pesquisas mostram que tem um aumento.

Imagina que das 29M de doses de ""sobra"" 20M (número baixo até) seja usado em uma vacinação em massa como 1ª dose.

+",pt,
1399140726034866190,2021-05-30 23:08:38+00:00,TheVipinho,905072732483833856,Jorge Anthony,"Rio de Janeiro, Brasil",7,431,701,,"@alepavanelli @folha vacina COM EFICÁCIA // remedinho SEM EFICÁCIA

             ué",pt,
1399132840395251723,2021-05-30 22:37:18+00:00,zuzubeezu,721893584652394496,Zuzu,URSAL,381,385,12642,,Passando o domingo com inveja de povo com governo que deu prioridade pra vacina do que medicamento sem eficácia pra sair da pandemia... #nascarfoxsport,pt,
1399132233903054855,2021-05-30 22:34:53+00:00,grungeofdelrey,1177432034714648577,julia,"Sao Paulo, Brazil",11526,10566,85356,,"Eu não aguento mais gente falando que a vacina não tem eficacia! Oh porra, se não tivesse, pq os outros paises estão saindo da pandemia sem contagio e mortes? Encheram o cu de cloroquina que não foi!",pt,
1399116455703101441,2021-05-30 21:32:12+00:00,muzicando,28224070,Marcelo F,,17,16,3623,,"@govbr O governo federal rejeitou por 11vzs compra de vacina, incentivou uso de vermífugos e outros remédios sem eficácia",pt,
1399116165750853642,2021-05-30 21:31:02+00:00,ButcherPalestra,1438648086,Butcher Palmeirense,,348,206,26540,,"@StefanoMatss @FreireCizinho 7- Todos os países que insistem no remédio sem eficácia tiveram o aumento de casos e mortes (Brasil e Índia)
8- O dinheiro que gasta remedio  sem eficacia poderia ser gasto em vacina
9- Minha tia tomou cloroquina e morreu, qual sua defesa? 
10- Viva a ciencia e nao o zapzap",pt,
1399100284257906690,2021-05-30 20:27:56+00:00,CarmemL74891554,1223689982407254019,Carmem Lúcia,,16,56,7425,,"@AdrillesRJorge Além de destruir vidas, destruiu a reputação do Butantan com uma vacina sem eficácia,  como estamos vendo dia a dia.",pt,
1399086085226086403,2021-05-30 19:31:31+00:00,manipulavelSQN,837853262271418368,Ninguem,,4,134,240,,"@pablogimen @galatreze @GCasaroes @GadoDecider Estou desde 03/20 vendo gente morrer, por falta de oxigenio, falta medicamentos,dessiminação de tratamentos sem eficacia,falta de vacina,desnutrição e etc reflexo desse governo genocida e concordo com as manifestações, pois é uma forma de pressionar por mudanças(sou prof da saude",pt,
1399073335431110666,2021-05-30 18:40:51+00:00,Fabio_Gongora,484390309,Fabio Gongora,"Nova Iorque, USA",708,839,204831,,"@folha É porque funciona, melhor que vacina chinesa... sem eficácia são as mentiras da imprensa corrupta!",pt,
1399069617885265927,2021-05-30 18:26:05+00:00,criscristn,1244294454929997826,Cris,,27,476,787,,"@lolaescreva Lola, a eficácia de 1 dose Pfizer contra a variante indiana cai pra 33%. Com a P.1 cai alguma coisa tb, mas não lembro o número exato. Continue se cuidando até 2° dose como se estivesse sem vacina!",pt,
1399065653907234820,2021-05-30 18:10:19+00:00,victorvizcarra,181960969,Victor Vizcarra,,454,642,7762,,"@folha ""Sem eficácia"". Jornal ignorante e militante, vou explicar que a lógica é simples. Ameaça presente, antídoto 'incerto' existente, vacina inexistente. Antídoto 'incerto' existente descartado, vacina inexistente criada às pressas, sem comprovação científica e com eficácia inventada",pt,
1399065550920339465,2021-05-30 18:09:55+00:00,AlanLeeIsBack,1268714647441625089,Alan Lee 🏳️‍🌈🏳️‍🌈🏳️‍🌈,,398,1007,22078,,"@maariioamr @GamerPatife Sem dúvida, sim
O Bolsonaro literalmente se colocou contra qualquer solução óbvia: boicotou vacina, gastou horrores num remédio sem eficácia alguma",pt,
1399054094124339204,2021-05-30 17:24:23+00:00,LouisLipe,1223023322482393088,Louis ᵉᶜᴮ🦸‍♂️☀️,,14,27,2333,,"@flavio02630155 @birutix @alfradique Estimular aglomerações e sem máscara, recusa de 70 milhões de doses da vacina Pfizer, promover uso de medicamentos sem eficácia...
 mortes haveriam obviamente mas muitas poderiam ser evitadas sim
Coloca uma boa parte de culpa nele",pt,
1399051269780684805,2021-05-30 17:13:10+00:00,MemoHumor,1055634308277387264,Final dos Tempos,"Magé, Brasil",1244,1044,85078,,"@folha E a vacina sem eficácia que a folha promoveu?

Foi bem de vendas? https://t.co/FMpV4Hgppz",pt,
1399049534731345921,2021-05-30 17:06:16+00:00,Irlanda77411410,1171493766701600768,Nice🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,"Brasília, Brasil",4133,5047,40659,,"@senadorhumberto É quem gritou, eu sou o calça apertada que vou salvar o Brasil, pois é gastou milhões numa vacina sem eficácia. E agora como fica senador, o povo está morendo imonizado por 2 doses, quem é genocida MESMO?",pt,
1399045560989106180,2021-05-30 16:50:29+00:00,CLAUDIAJUSTO9,1130532849331900416,CLAUDIA JUSTO,,12,38,3356,,@CNNBrasil Cancelar esta vacina é mais correto. Pedir uma retratação do diretor do Butantã que falou na Tv que era 100% de proteção. Vender vacina sem eficácia é fácil. salvar vidas é que é dificil. Ele ainda demonizou trato precoce. A verdade veio a tona. Cabe processo,pt,
1399044229763063808,2021-05-30 16:45:12+00:00,EleiseDe,1134558541400989697,Eleise de Paula,,2798,5002,14760,,"@cleberf_2017 @anterogreco @JanainaDoBrasil Faça-meo favor! Que frase mais apelativa. Não tem nada com querer comunismo, é contra um governo que, sim, foi na contramão do mundo, usando o povo, e incentivando o contágio, negando a eficácia da vacina e pagando por um remédio sem eficácia. Resultado... estamos onde estamos.",pt,
1399039120626888705,2021-05-30 16:24:53+00:00,TeInformeiBR,457481696,🇧🇷🇮🇱Liberdade em Análise🇧🇷🇮🇱,🧐IP-Investigações Políticas🧐,727,2347,9120,,"@Rosanemcz E daí não sabemos se morreu só por covid, ou maconha e outra drogas que as jumentas e jumentos gosta de usar 
A final esquerdalha tem que baixa a orelha né
Tão bonitinha e sem eficácia igual a vacina",pt,
1399029130784563204,2021-05-30 15:45:12+00:00,Lorens1903,4061110036,Lorenzo🇧🇷🇪🇪,em algum lugar do universo,1933,1975,39151,,"@Folkzin1903 @patheusmerigoso @tridaamericaRS @amandatristinha @lucianojanssen @fernao_berthold Indicou remédios sem eficácia, disse q máscara não funcionava, aparecia sem máscara, deixou faltar oxigênio em Manaus, não comprou vacina, nem a economia salvou",pt,
