id,date,user_name,user_id,user_displayname,user_location,user_followers,user_friends,user_statuses,retweeted,content,lang,is_missinginfo
1399146027668623361,2021-05-30 23:29:42+00:00,Joenils64223172,1354650037674979330,Joenilson,"Bacabal, Brasil",1,44,18,,@senadorhumberto Nós somos Brasileiros e trabalhadora não somos cobaias de nenhuma indústria farmacêutica para aceitarmos tomar vacina sem comprovação e pior sem q a indústria se responsabize por qualquer efeito contrário . Acho q vcs senadores edeviam ter tomado a vacina  pra servir de cobaia.,pt,1
1399130237007499264,2021-05-30 22:26:57+00:00,edsondamiao,260734523,Edson Damião,,7,123,55,,@LucasRo55849604 @HezromB @o_antagonista Comprar vacina sem estar aprovada pela Anvisa…. Pq a vacina poedeira ser comprada sem comprovação e o uso da cloroquina não pode??? Muita hipocrisia isso….,pt,
1399128419519107074,2021-05-30 22:19:44+00:00,fabio99917589,1392664253828681728,fabio,,1,4,25,,@EdilmaNascime14 @viniviniaf @Francis17990794 @ladyfontenelle Uma vacina sem comprovação comprada por diversos países e só o alecrim dourado não quis?,pt,1
1399120888193245191,2021-05-30 21:49:48+00:00,LuceNey,36070134,LSantos,,285,336,749,,"@Oplebeu92 @DanielaAdornoM1 @folha Então já q vc é informado me fale sobre duas situações: já q falou da vacina, o que diz do presidente fazer propaganda e comprar um remédio não tem comprovação científica pra tratar a covid com dinheiro publico? E qual o plano do governo de combate a pandemia? Sem rodeios",pt,0
1399100472049422336,2021-05-30 20:28:41+00:00,Marcosjmab,1382605372041662467,Marcos,"Capanema, Brasil",1,221,1188,,"@zeliaduncan Aglomeração 
Genocídio 
HIPÓCRITAS 

Sem máscara 

Vacina sem comprovação 

Pode??",pt,1
1399099955160272896,2021-05-30 20:26:37+00:00,MalfoySis,4741214716,Sweet Child,"São Paulo, Brasil",245,957,1668,,"@shirlenemsantos @JuhZanca Não são hipócritas? São ""pró-vida"" e a favor de um cara que negou 11 vezes uma vacina, investiu em tratamento sem comprovação científica e zombou da pandemia por diversas vezes? Isso não me parece coerência, mas sim ""perdidos no personagem""!",pt,0
1399095378591555593,2021-05-30 20:08:26+00:00,jaimes_sousa,1135585306449719301,Jaimes Barreto de Sousa,,195,233,11721,,"...no ""tratamento do Doria"" que SEM comprovação alguma (e o fatos demonstram isso) indica uma vacina bem xinguilingue. Em breve sairão PROVAS de que uma ruma de gente morreu PORQUE essa vachina não serviu pra NADA! Apenas abriu espaços para novas cepas.",pt,1
1399095176287686659,2021-05-30 20:07:38+00:00,betina_pmleal,1156351137315991553,betina✊🏼,,119,214,3057,,"negou a compra da vacina 11 vezes,investiu em tratamento sem comprovação,deixou o país desamparado 15 meses,ironizou a morte da própria população. Humoristas tiveram que fazer o trabalho do governos para salvar vidas no Amazonas, coisa que o senhor presidente não fez.",pt,0
1399086300624457739,2021-05-30 19:32:22+00:00,giz0909,93747928,Gizela Damasceno,Criciúma/sc,11,43,1902,,"@DeclairV @natalyramoss Vc acredita MESMO nessas narrativas? Observe q o povo começou a ser vacinado após aprovação da vacina . Observe q a comida saiu do prato após o lockdown irresponsável,  sem comprovação científica.  Reflita",pt,
1399076359952076806,2021-05-30 18:52:52+00:00,ArmosTatiana,1279223609739919360,Tatiana Armos,,6318,6504,10517,,"@senadorhumberto Ahhh e só para te lembrar: vacina sem comprovação científica , apenas com aurorizavao emergencial, não garante anticorpos para imunidade contra o vírus chinês, viu!

O defensor de vacina, que nada entende de saúde! Ahh sim, entende de roubar a saúde!

Corrupto e ladrão!",pt,1
